title,genre,release_year,director,budget_millions,box_office_millions,rating,country,notes
Avatar,Sci-Fi,2009,James Cameron,237.0,2923.7,7.9,United States,
Avengers: Endgame,Action,2019,Anthony Russo,356.0,2797.5,8.4,United States,Based on a book
Titanic,Romance,1997,James Cameron,200.0,2264.7,7.9,United States,
Star Wars: The Force Awakens,Sci-Fi,2015,J.J. Abrams,,2071.3,7.8,United States,
Avengers: Infinity War,Action,2018,Anthony Russo,321.0,2048.4,8.4,United States,Box office record
Spider-Man: No Way Home,Action,2021,Jon Watts,200.0,1921.8,,United States,Cult classic
Jurassic World,Adventure,2015,Colin Trevorrow,150.0,1671.7,7.0,United States,Sequel to a hit
The Lion King,Animation,2019,Jon Favreau,260.0,1656.9,6.8,United States,
The Avengers,Action,2012,Joss Whedon,220.0,1518.8,8.0,United States,Remake
Furious 7,Action,2015,James Wan,190.0,1516.0,7.1,United States,Franchise starter
Frozen II,Animation,2019,Chris Buck,150.0,,6.8,United States,
Top Gun: Maverick,Action,2022,Joseph Kosinski,170.0,1495.7,8.3,United States,Remake
Barbie,Comedy,2023,Greta Gerwig,145.0,1446.9,6.9,United States,
Black Panther,Action,2018,Ryan Coogler,,1349.9,7.3,United States,
Harry Potter and the Deathly Hallows: Part 2,Fantasy,2011,David Yates,125.0,1341.5,8.1,United Kingdom,Critically acclaimed
Deadpool & Wolverine,Action,2024,Shawn Levy,200.0,1338.7,7.7,United States,Franchise starter
Star Wars: The Last Jedi,Sci-Fi,2017,Rian Johnson,317.0,1332.7,,United States,Award winner
Jurassic Park,Adventure,1993,Steven Spielberg,63.0,1109.0,8.1,United States,Remake
The Super Mario Bros. Movie,Animation,2023,Aaron Horvath,100.0,1362.5,7.0,United States,
Aquaman,Action,2018,James Wan,160.0,,6.9,United States,Award winner
Inside Out 2,Animation,2024,Kelsey Mann,,1698.9,7.6,United States,Franchise starter
Minions,Animation,2015,Kyle Balda,74.0,1159.4,,United States,
Jurassic World: Fallen Kingdom,Adventure,2018,J.A. Bayona,170.0,1310.5,6.1,United States,Cult classic
,Action,2012,Sam Mendes,200.0,,7.8,United Kingdom,
Rogue One,Sci-Fi,2016,Gareth Edwards,200.0,1058.8,7.8,United States,Highest grossing of the year
