name,mass,radius,discovered
1RXS 1609 b,14.0,1.7,2008
2M 0122-24 b,20.0,1.0,2013
2M 2140+16 b,20.0,0.92,2010
2M 2206-20 b,30.0,1.3,2010
51 Peg b,0.47,1.9,1995
55 Cnc e,0.02703,0.1737,2004
CT Cha b,17.0,2.2,2008
CoRoT-1 b,1.03,1.49,2007
CoRoT-10 b,2.75,0.97,2010
CoRoT-11 b,2.33,1.43,2010
CoRoT-12 b,0.917,1.44,2010
CoRoT-13 b,1.308,0.885,2010
CoRoT-14 b,7.6,1.09,2010
CoRoT-15 b,63.4,1.12,2010
CoRoT-16 b,0.535,1.17,2010
CoRoT-17 b,2.43,1.02,2010
CoRoT-18 b,3.47,1.31,2011
CoRoT-19 b,1.11,1.29,2011
CoRoT-2 b,3.31,1.465,2007
CoRoT-20 b,4.24,0.84,2011
CoRoT-21 b,2.26,1.3,2011
CoRoT-22 b,0.06,0.4354,2011
CoRoT-23 b,2.8,1.08,2011
CoRoT-24 b,0.018,0.33,2011
CoRoT-24 c,0.088,0.44,2011
CoRoT-25 b,0.27,1.08,2012
CoRoT-26 b,0.52,1.26,2012
CoRoT-27 b,10.39,1.007,2012
CoRoT-29 b,0.85,0.9,2012
CoRoT-3 b,21.66,1.19,2008
CoRoT-4 b,0.72,1.19,2008
CoRoT-5 b,0.467,1.388,2008
CoRoT-6 b,2.96,1.166,2009
CoRoT-7 b,0.0151,0.15,2009
CoRoT-8 b,0.22,0.57,2009
CoRoT-9 b,0.84,1.05,2010
GJ 1214 b,0.02,0.244,2009
GJ 3470 b,0.044,0.37,2012
GJ 436 b,0.073,0.372,2004
GJ 3021 b,3.32,,2000
GJ 674 b,0.037,,2007
HAT-P-1 b,0.53,1.32,2006
HAT-P-11 b,0.081,0.389,2009
HAT-P-12 b,0.211,0.959,2009
HAT-P-13 b,0.85,1.28,2009
HAT-P-16 b,4.19,1.29,2010
HAT-P-19 b,0.292,1.132,2010
HAT-P-2 b,9.09,1.16,2007
HAT-P-20 b,7.246,0.867,2011
HAT-P-21 b,4.063,1.024,2011
HAT-P-22 b,2.147,1.08,2011
HAT-P-23 b,2.09,1.368,2011
HAT-P-26 b,0.059,0.565,2011
HAT-P-3 b,0.599,0.899,2007
HAT-P-4 b,0.68,1.27,2007
HAT-P-5 b,1.06,1.257,2007
HAT-P-6 b,1.057,1.33,2007
HAT-P-7 b,1.84,1.42,2008
HAT-P-8 b,1.52,1.5,2009
HAT-P-9 b,0.78,1.4,2008
HD 149026 b,0.36,0.718,2005
HD 17156 b,3.19,1.023,2007
HD 189733 b,1.144,1.138,2005
HD 209458 b,0.69,1.359,1999
HD 80606 b,3.94,0.981,2001
HD 97658 b,0.025,0.21,2011
Kepler-10 b,0.014,0.146,2011
Kepler-10 c,0.064,0.235,2011
Kepler-11 b,0.014,0.181,2011
Kepler-11 c,0.03,0.267,2011
Kepler-11 d,0.023,0.334,2011
Kepler-11 e,0.028,0.371,2011
Kepler-11 f,0.007,0.257,2011
Kepler-12 b,0.43,1.79,2011
Kepler-14 b,8.4,1.136,2011
Kepler-15 b,0.66,0.96,2011
Kepler-16 b,0.333,0.7538,2011
Kepler-17 b,2.45,1.31,2011
Kepler-18 b,0.021,0.1993,2011
Kepler-18 c,0.054,0.4433,2011
Kepler-18 d,0.058,0.6,2011
Kepler-4 b,0.077,0.357,2010
Kepler-5 b,2.114,1.431,2010
Kepler-6 b,0.669,1.323,2010
Kepler-7 b,0.433,1.478,2010
Kepler-8 b,0.603,1.419,2010
Kepler-9 b,0.252,0.842,2010
Kepler-9 c,0.171,0.823,2010
Kepler-9 d,0.023,0.145,2010
TrES-1 b,0.61,1.081,2004
TrES-2 b,1.253,1.169,2006
TrES-3 b,1.91,1.336,2007
TrES-4 b,0.917,1.735,2007
WASP-1 b,0.86,1.4,2006
WASP-10 b,3.06,1.08,2008
WASP-11 b,0.46,1.0,2008
WASP-12 b,1.41,1.79,2008
WASP-13 b,0.46,1.06,2009
WASP-14 b,7.34,1.28,2008
WASP-15 b,0.542,1.428,2009
